variable,kind,n_analysis,n_excluded,mean_analysis,sd_analysis,mean_excluded,sd_excluded,test,t_stat,p_value,smd
age_bl,continuous,187,603,81.94855915111985,6.333089821755243,77.94300684576206,7.285845629491381,welch_t,7.282655757318385,2.163030817627467e-12,0.5663528677481111
msex,binary,187,603,0.2620320855614973,0.43974000465933216,0.22388059701492538,0.4168429863811624,chi2,0.9591014506967871,0.3274133705060232,0.08901949122018582
educ,continuous,187,603,15.609625668449198,2.857270177962739,16.217247097844112,3.1566363753658884,welch_t,-2.4768432235458735,0.01374302160636893,-0.19673093893069823
gait_speed,continuous,146,578,0.3910314107114772,0.13092011843984885,0.4654601979237803,0.1101634466869736,welch_t,-6.326766901636558,1.6101185424179713e-09,-0.6492730293044847
cogn_global,continuous,186,601,-0.20061515352959608,0.7618404268773631,0.27115533331135505,0.5619089414807712,welch_t,-7.81330252688657,1.5371086994731592e-13,-0.7672195108701042
mobility_disability_binary,binary,185,600,0.7621621621621621,0.42575932254086957,0.36333333333333334,0.48095968877050627,chi2,89.02795140306358,3.892733055458768e-21,0.8287780520488581
