cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_d|Demographics|cvda_4gp2_bin,LR-elasticnet,Block PCA,187,6,0.25668449197860965,0.4793231058846912,0.112759552375563,0.6944356261022927,0.09716351112918524,2.4,cohort_d,Demographics,cvda_4gp2_bin
cohort_d|Demographics|cvda_4gp2_bin,SVC-RBF,Block PCA,187,6,0.25668449197860965,0.4370599851232703,0.10063969607561651,0.6586772486772486,0.08543580788642856,3.1,cohort_d,Demographics,cvda_4gp2_bin
cohort_d|Demographics|cvda_4gp2_bin,RF,Block PCA,187,6,0.25668449197860965,0.36391872800570796,0.07272446393978106,0.6144179894179894,0.0870833143297269,42.4,cohort_d,Demographics,cvda_4gp2_bin
cohort_d|Demographics|cvda_4gp2_bin,HistGB,Block PCA,187,6,0.25668449197860965,0.37998362355486515,0.07201890795536536,0.584052028218695,0.08895514239374921,7.9,cohort_d,Demographics,cvda_4gp2_bin
cohort_d|Demographics|henl_4gp_bin,LR-l2,Block PCA,186,6,0.25806451612903225,0.38999929935008365,0.0936114298672403,0.5945326278659612,0.0870172627632013,2.0,cohort_d,Demographics,henl_4gp_bin
cohort_d|Demographics|henl_4gp_bin,LR-l1,Block PCA,186,6,0.25806451612903225,0.4093783390034888,0.09690174792395026,0.5885361552028219,0.09399005482340113,1.9,cohort_d,Demographics,henl_4gp_bin
cohort_d|Demographics|henl_4gp_bin,LR-elasticnet,Block PCA,186,6,0.25806451612903225,0.41087604375796666,0.09876787370324758,0.5827336860670195,0.09616639088738399,2.1,cohort_d,Demographics,henl_4gp_bin
cohort_d|Demographics|henl_4gp_bin,SVC-RBF,Block PCA,186,6,0.25806451612903225,0.39113100429492076,0.10522968964207656,0.5903527336860671,0.07551963244409102,3.2,cohort_d,Demographics,henl_4gp_bin
cohort_d|Demographics|henl_4gp_bin,RF,Block PCA,186,6,0.25806451612903225,0.39034273725955,0.13137536678443468,0.5345061728395062,0.12044173773100532,42.1,cohort_d,Demographics,henl_4gp_bin
cohort_d|Demographics|henl_4gp_bin,HistGB,Block PCA,186,6,0.25806451612903225,0.35572165700052,0.11191855125285846,0.5231305114638448,0.11084283421004941,7.8,cohort_d,Demographics,henl_4gp_bin
